ID;post_title;_post_permalink;ToSubmit;Indexed;Submitted
37672;Les meilleurs climatiseurs mobiles sans évacuation (sans tuyau);https://meilleurtest.fr/comparatif-climatiseur-sans-evacuation/;Yes;No;No
37750;Les meilleurs climatiseurs mobiles;https://meilleurtest.fr/comparatif-climatiseur-mobile/;Yes;;
37034;Les meilleurs ventilateurs de plafond;https://meilleurtest.fr/comparatif-ventilateur-de-plafond/;Yes;;
38289;Les meilleurs climatiseurs sans unité extérieure;https://meilleurtest.fr/comparatif-climatiseur-sans-unite-exterieure/;Yes;;
36685;Les meilleures voitures électriques;https://meilleurtest.fr/comparatif-voiture-electrique/;No;N/A;N/A
38569;Les meilleurs navigateurs internet;https://meilleurtest.fr/comparatif-navigateur-internet/;No;N/A;N/A
37112;Les meilleurs matelas;https://meilleurtest.fr/comparatif-matelas/;Yes;;
38293;Les meilleurs robots lave vitre;https://meilleurtest.fr/comparatif-robot-lave-vitre/;Yes;;
36762;Les meilleurs rafraîchisseurs d'air;https://meilleurtest.fr/comparatif-rafraichisseur-d-air/;Yes;;
38838;Les meilleurs climatiseurs;https://meilleurtest.fr/comparatif-climatiseur/;Yes;;
36620;Les meilleurs badges de télépéage pour l'autoroute;https://meilleurtest.fr/comparatif-telepeage/;Yes;;
36791;Les meilleures voitures hybrides;https://meilleurtest.fr/comparatif-voiture-hybride/;No;N/A;N/A
41415;Les meilleures poêles en inox;https://meilleurtest.fr/comparatif-poele-en-inox/;Yes;;
37268;Les meilleurs appareils auditifs;https://meilleurtest.fr/comparatif-appareil-auditif/;Yes;;
39695;Les meilleurs traceurs GPS sans abonnement;https://meilleurtest.fr/comparatif-traceur-gps-sans-abonnement/;Yes;;
41765;Les meilleures climatisations réversibles;https://meilleurtest.fr/comparatif-climatisation-reversible/;Yes;;
37602;Les meilleures imprimantes 3D;https://meilleurtest.fr/comparatif-imprimante-3d/;Yes;;
37076;Les meilleurs ventilateurs silencieux;https://meilleurtest.fr/comparatif-ventilateur-silencieux/;Yes;;
36477;Les meilleurs masques LED;https://meilleurtest.fr/comparatif-masque-led/;Yes;;
36847;Les meilleurs aspirateurs laveurs;https://meilleurtest.fr/comparatif-aspirateur-laveur/;Yes;;
37631;Les meilleurs boosters de batterie;https://meilleurtest.fr/comparatif-booster-batterie/;;;
38336;Les meilleurs robots aspirateurs laveurs;https://meilleurtest.fr/comparatif-robot-aspirateur-laveur/;;;
37208;Les meilleurs adoucisseurs d'eau;https://meilleurtest.fr/comparatif-adoucisseur-deau/;;;
36840;Les meilleures dashcams;https://meilleurtest.fr/comparatif-dashcam/;;;
37386;Les meilleurs filtres à eau;https://meilleurtest.fr/comparatif-filtre-a-eau/;;;
37690;Les meilleurs aspirateurs sans fil;https://meilleurtest.fr/comparatif-aspirateur-sans-fil/;;;
36668;Les meilleures pompes à chaleur;https://meilleurtest.fr/comparatif-pompe-a-chaleur/;;;
37263;Les meilleurs téléphones portables pour séniors;https://meilleurtest.fr/comparatif-telephone-portable-pour-senior/;;;
36660;Les meilleurs désherbants total efficaces;https://meilleurtest.fr/comparatif-desherbant-total-efficace/;;;
41290;Les meilleurs leggings anti-cellulite;https://meilleurtest.fr/comparatif-legging-anti-cellulite/;;;
36529;Les meilleurs climatiseurs mobiles silencieux;https://meilleurtest.fr/comparatif-climatiseur-mobile-silencieux/;;;
38144;Les meilleures caméras de surveillance extérieure;https://meilleurtest.fr/comparatif-camera-de-surveillance-exterieure/;;;
37858;Les meilleurs climatiseurs mobiles split;https://meilleurtest.fr/comparatif-climatiseur-mobile-split/;;;
36509;Les meilleures chaudières à gaz;https://meilleurtest.fr/comparatif-chaudiere-a-gaz/;;;
39538;Les meilleurs sites de streaming (légaux et payants) pour regarder des animes;https://meilleurtest.fr/comparatif-site-de-streaming-animes-legal/;;;
40372;Les meilleurs robots tondeuses sans fil périphérique;https://meilleurtest.fr/comparatif-robot-tondeuse-sans-fil-peripherique/;;;
