Action;Catégorie;Confiance;Type;URL;ID;Titre;Encore en ligne ?;Source;Commentaire
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-abonnement-iptv/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-application-iptv/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-boitier-iptv-4k/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-box-android-iptv/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-convertisseur-youtube-mp3/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-foot-streaming-4-sites-pour-voir-matchs-direct-gratuitement/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Probable;Comparatif;https://meilleurtest.fr/comparatif-logiciel-de-torrent/;39594;Les meilleurs logiciels de torrent;Oui (dans la liste des guides);Liste des guides;Logiciels légaux mais recherche à 95 % liée au piratage
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-site-de-foot-streaming-gratuit-2/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-site-de-foot-streaming-gratuit-3/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-site-de-foot-streaming-gratuit/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-site-de-streaming-gratuit-pour-regarder-des-films/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-site-de-streaming-pour-regarder-des-animes/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Probable;Comparatif;https://meilleurtest.fr/comparatif-site-de-telechargement-de-musique-gratuite/;39306;Les meilleurs sites de téléchargement de musique gratuite;Oui (dans la liste des guides);Liste des guides;À garder seulement si la page ne cite que des sites légaux (Jamendo, Free Music Archive…)
Supprimer;Piratage;Certain;Comparatif;https://meilleurtest.fr/comparatif-site-de-torrent/;;;À confirmer;Archive web / Search Console;
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-1337x/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-abonnement-iptv-apple-tv/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Probable;Fiche;https://meilleurtest.fr/fiche-bittorrent/;;;À confirmer;Archive web (Wayback);Logiciel légal, usage pirate
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-coflix/;;;À confirmer;Search Console (oct. 2025);Page qui avait du trafic en oct. 2025
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-flvto/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-movbor-com/;;;À confirmer;Search Console (oct. 2025);Page qui avait du trafic en oct. 2025
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-musicdownload-zone/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Probable;Fiche;https://meilleurtest.fr/fiche-qbittorrent/;;;À confirmer;Archive web (Wayback);Logiciel légal, usage pirate
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-the-pirate-bay/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-torrent9/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-tubidy/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-y2mate-com/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Certain;Fiche;https://meilleurtest.fr/fiche-ytmp3/;;;À confirmer;Archive web (Wayback);
Supprimer;Piratage;Certain;Article;https://meilleurtest.fr/sites-de-streaming-gratuits-pour-regarder-des-series/;;;À confirmer;Search Console (oct. 2025);Page qui avait du trafic en oct. 2025
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-anneau-vibrant/;41526;Les meilleurs anneaux vibrants;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-baillon-bdsm/;41555;Les meilleurs baillons BDSM;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-bijou-anal/;41576;Les meilleurs bijoux anaux;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Probable;Comparatif;https://meilleurtest.fr/comparatif-booster-de-libido-pour-femme/;42103;Les meilleurs boosters de libido pour femmes;Oui (dans la liste des guides);Liste des guides;Thème sexuel + allégations santé risquées
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-boules-de-geisha/;41639;Les meilleures boules de geisha;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-cage-de-chastete/;37673;Les meilleures cages de chasteté;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-cagoule-bdsm/;41640;Les meilleures cagoules BDSM;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-chaine-anale/;41712;Les meilleures chaînes anales;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-coffret-bdsm/;41761;Les meilleurs coffrets BDSM;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-collier-bdsm/;41807;Les meilleurs colliers BDSM;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Probable;Comparatif;https://meilleurtest.fr/comparatif-complement-alimentaire-pour-ameliorer-erection/;42160;Les meilleurs compléments alimentaires pour améliorer l'érection;Oui (dans la liste des guides);Liste des guides;Thème sexuel + allégations santé risquées
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-corde-bdsm/;41799;Les meilleures cordes BDSM;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-fleshlight-transparent/;41877;Les meilleurs fleshlights transparents;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-fleshlight/;39460;Les meilleurs fleshlights;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-fouet-bdsm/;42220;Les meilleurs fouets BDSM;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-fuck-machine/;40165;Les meilleures fuck machines;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Probable;Comparatif;https://meilleurtest.fr/comparatif-gel-intime-pour-femme/;42402;Les meilleurs gels intimes pour femme;Oui (dans la liste des guides);Liste des guides;Vérifier qu'il s'agit bien de lubrifiants intimes (et non d'hygiène)
Supprimer;Adulte;Probable;Comparatif;https://meilleurtest.fr/comparatif-gel-intime/;38429;Les meilleurs gels intimes;Oui (dans la liste des guides);Liste des guides;Vérifier qu'il s'agit bien de lubrifiants intimes (et non d'hygiène)
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-anal/;42226;Les meilleurs godes anaux;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ceinture-creux/;42229;Les meilleurs godes ceintures creux;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ceinture-double-penetration/;42249;Les meilleurs godes ceintures double pénétration;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ceinture-ejaculateur/;42251;Les meilleurs godes ceintures éjaculateurs;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ceinture-sans-harnais/;42250;Les meilleurs godes ceintures sans harnais;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ceinture-vibrant/;41860;Les meilleurs godes ceintures vibrants;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ceinture/;39287;Les meilleurs godes ceinture;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-double/;42247;Les meilleurs godes doubles;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ejaculateur/;42240;Les meilleurs godes éjaculateur;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-en-verre/;42234;Les meilleurs godes en verre;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-gonflable/;42231;Les meilleurs godes gonflables;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-noir/;42233;Les meilleurs godes noirs;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-pour-homme/;42236;Les meilleurs godes pour hommes;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-realiste/;42244;Les meilleurs godes réalistes;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-telecommande/;42235;Les meilleurs godes télécommandés;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-ventouse/;42248;Les meilleurs godes ventouse;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-vibrant/;42241;Les meilleurs godes vibrants;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode-xxl/;42238;Les meilleurs godes XXL;Oui (dans la liste des guides);Liste des guides;
Supprimer;Adulte;Certain;Comparatif;https://meilleurtest.fr/comparatif-gode/;37410;Les meilleurs godes;Oui (dans la liste des guides);Liste des guides;
